"Àmbit territorial","Codi territorial","Nom territori","Any","Període","Habitatges","Renda","Tram de preus"
"Municipi","08267","Sentmenat","2025","gener-març","16","732,88","> 600 euros/mes"
"Municipi","17190","Serinyà","2025","gener-març","5",,"> 450 i <= 600 euros/mes"
"Municipi","25204","Seròs","2025","gener-març","3",,"<= 350 euros/mes"
"Municipi","17191","Serra de Daró","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","25203","Seu d'Urgell, la","2025","gener-març","86","576,71","> 450 i <= 600 euros/mes"
"Municipi","08269","Seva","2025","gener-març","9","488,98","> 450 i <= 600 euros/mes"
"Municipi","17193","Sils","2025","gener-març","11","747,00","> 600 euros/mes"
"Municipi","08270","Sitges","2025","gener-març","142","1.386,92","> 600 euros/mes"
"Municipi","08271","Sobremunt","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25206","Soleràs, el","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","43147","Solivella","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","25207","Solsona","2025","gener-març","48","393,55","> 350 i <= 450 euros/mes"
"Municipi","25208","Soriguera","2025","gener-març","4",,"> 450 i <= 600 euros/mes"
"Municipi","25209","Sort","2025","gener-març","27","458,82","> 450 i <= 600 euros/mes"
"Municipi","25210","Soses","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","08273","Subirats","2025","gener-març","10","805,00","> 600 euros/mes"
"Municipi","08274","Súria","2025","gener-març","17","502,62","> 450 i <= 600 euros/mes"
"Municipi","08276","Tagamanent","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","08277","Talamanca","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","25215","Talarn","2025","gener-març","2",,"> 350 i <= 450 euros/mes"
"Municipi","17195","Tallada d'Empordà, la","2025","gener-març","2",,"> 350 i <= 450 euros/mes"
"Municipi","08278","Taradell","2025","gener-març","20","565,08","> 450 i <= 600 euros/mes"
"Municipi","43148","Tarragona","2025","gener-març","640","670,33","> 600 euros/mes"
"Municipi","25217","Tàrrega","2025","gener-març","108","414,20","> 350 i <= 450 euros/mes"
"Municipi","08280","Tavertet","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","08281","Teià","2025","gener-març","19","1.083,27","> 600 euros/mes"
"Municipi","25220","Térmens","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","08279","Terrassa","2025","gener-març","720","728,94","> 600 euros/mes"
"Municipi","08282","Tiana","2025","gener-març","23","1.240,22","> 600 euros/mes"
"Municipi","43149","Tivenys","2025","gener-març","5",,"<= 350 euros/mes"
"Municipi","43150","Tivissa","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08283","Tona","2025","gener-març","40","632,42","> 600 euros/mes"
"Municipi","25223","Torà","2025","gener-març","6","467,63","> 450 i <= 600 euros/mes"
"Municipi","08284","Tordera","2025","gener-març","52","623,53","> 600 euros/mes"
"Municipi","08285","Torelló","2025","gener-març","55","553,04","> 450 i <= 600 euros/mes"
"Municipi","25227","Torre de Cabdella, la","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08286","Torre de Claramunt, la","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","43153","Torredembarra","2025","gener-març","63","597,81","> 450 i <= 600 euros/mes"
"Municipi","25228","Torrefarrera","2025","gener-març","15","572,00","> 450 i <= 600 euros/mes"
"Municipi","25907","Torrefeta i Florejacs","2025","gener-març","1",,"> 350 i <= 450 euros/mes"
"Municipi","25230","Torregrossa","2025","gener-març","4",,"> 350 i <= 450 euros/mes"
"Municipi","08287","Torrelavit","2025","gener-març","9","575,22","> 450 i <= 600 euros/mes"
"Municipi","08288","Torrelles de Foix","2025","gener-març","7","662,14","> 600 euros/mes"
"Municipi","08289","Torrelles de Llobregat","2025","gener-març","20","756,85","> 600 euros/mes"
"Municipi","25232","Torres de Segre","2025","gener-març","8","467,50","> 450 i <= 600 euros/mes"
"Municipi","25233","Torre-serona","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17198","Torroella de Fluvià","2025","gener-març","4",,"> 600 euros/mes"
"Municipi","17199","Torroella de Montgrí","2025","gener-març","41","632,83","> 600 euros/mes"
"Municipi","17200","Tortellà","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","43155","Tortosa","2025","gener-març","217","473,61","> 450 i <= 600 euros/mes"
"Municipi","17201","Toses","2025","gener-març","1",,"> 600 euros/mes"
"Municipi","17202","Tossa de Mar","2025","gener-març","16","704,81","> 600 euros/mes"
"Municipi","25234","Tremp","2025","gener-març","31","405,76","> 350 i <= 450 euros/mes"
"Municipi","17204","Ullà","2025","gener-març","2",,"> 450 i <= 600 euros/mes"
"Municipi","08290","Ullastrell","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","43156","Ulldecona","2025","gener-març","18","386,75","> 350 i <= 450 euros/mes"
"Municipi","43157","Ulldemolins","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","17203","Ultramort","2025","gener-març","2",,"> 600 euros/mes"
"Municipi","08291","Vacarisses","2025","gener-març","9","826,04","> 600 euros/mes"
"Municipi","17208","Vall de Bianya, la","2025","gener-març","6","550,00","> 450 i <= 600 euros/mes"
"Municipi","25043","Vall de Boí, la","2025","gener-març","6","507,00","> 450 i <= 600 euros/mes"
"Municipi","25901","Vall de Cardós","2025","gener-març","1",,"> 450 i <= 600 euros/mes"
"Municipi","17207","Vall d'en Bas, la","2025","gener-març","5",,"> 600 euros/mes"
"Municipi","08292","Vallbona d'Anoia","2025","gener-març","3",,"> 600 euros/mes"
"Municipi","25238","Vallbona de les Monges","2025","gener-març","1",,"<= 350 euros/mes"
"Municipi","08293","Vallcebre","2025","gener-març","1",,"> 600 euros/mes"
